Journal Title,ISSN (Print),ISSN (Online),Categories
Current problems in cancer.,0147-0272,1535-6345,Neoplasms
Leukemia research.,0145-2126,1873-5835,Neoplasms
Japanese journal of clinical oncology.,0368-2811,1465-3621,Neoplasms
Seminars in oncology.,0093-7754,1532-8708,Neoplasms
International journal of cancer.,0020-7136,1097-0215,Neoplasms
Recent results in cancer research. Fortschritte der Krebsforschung.  Progrès dans les recherches sur le cancer.,0080-0015,,Neoplasms
Bulletin du cancer.,0007-4551,1769-6917,Neoplasms
Oncology.,0030-2414,1423-0232,Neoplasms
Indian journal of cancer.,0019-509X,1998-4774,Neoplasms
Neoplasma.,0028-2685,1338-4317,Neoplasms
Magyar onkologia.,0025-0244,2060-0399,Neoplasms
Advances in cancer research.,0065-230X,2162-5557,Neoplasms
British journal of cancer.,0007-0920,1532-1827,Neoplasms
CA: a cancer journal for clinicians.,0007-9235,1542-4863,Neoplasms
Cancer.,0008-543X,1097-0142,Neoplasms
Cancer research.,0008-5472,1538-7445,Neoplasms
Journal of the National Cancer Institute.,0027-8874,1460-2105,Neoplasms
Tumori.,0300-8916,2038-2529,Neoplasms
American Society of Clinical Oncology educational book,1548-8748,1548-8756,Neoplasms
Neuro-oncology.,1522-8517,1523-5866,Neoplasms; Neurology
Journal of neuro-oncology.,0167-594X,1573-7373,Neoplasms; Neurology
Clinical journal of oncology nursing.,1092-1095,1538-067X,Neoplasms; Nursing
European journal of oncology nursing : the official journal of European Oncology Nursing Society.,1462-3889,1532-2122,Neoplasms; Nursing
Seminars in oncology nursing.,0749-2081,1878-3449,Neoplasms; Nursing
Cancer nursing.,0162-220X,1538-9804,Neoplasms; Nursing
Oncology nursing forum.,0190-535X,1538-0688,Neoplasms; Nursing
Journal of pediatric hematology/oncology nursing.,2752-7530,2752-7549,Neoplasms; Nursing; Pediatrics
Nutrition and cancer.,0163-5581,1532-7914,Neoplasms; Nutritional Sciences
Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer.,0941-4355,1433-7339,Neoplasms; Palliative Care
"Journal of cachexia, sarcopenia and muscle.",2190-5991,2190-6009,Neoplasms; Pathology
Head and neck pathology.,1936-055X,1936-0568,Neoplasms; Pathology
Pathology oncology research : POR.,1219-4956,1532-2807,Neoplasms; Pathology
Journal of adolescent and young adult oncology.,2156-5333,2156-535X,Neoplasms; Pediatrics
Cancer biotherapy & radiopharmaceuticals.,1084-9785,1557-8852,Neoplasms; Pharmacology; Radiotherapy; Therapeutics
Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners.,1078-1552,1477-092X,Neoplasms; Pharmacy
Psycho-oncology.,1057-9249,1099-1611,Neoplasms; Psychology
Journal of psychosocial oncology.,0734-7332,1540-7586,Neoplasms; Psychology; Social Sciences
Journal of cancer policy.,,2213-5383,Neoplasms; Public Health
European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP).,0959-8278,1473-5709,Neoplasms; Public Health
Thoracic cancer.,1759-7706,1759-7714,Neoplasms; Pulmonary Medicine
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer.,1556-0864,1556-1380,Neoplasms; Pulmonary Medicine
Clinical lung cancer.,1525-7304,1938-0690,Neoplasms; Pulmonary Medicine
Zhongguo fei ai za zhi = Chinese journal of lung cancer.,1009-3419,1999-6187,Neoplasms; Pulmonary Medicine
Radiology. Imaging cancer.,,2638-616X,Neoplasms; Radiology
Seminars in radiation oncology.,1053-4296,1532-9461,Neoplasms; Radiology
"International journal of radiation oncology, biology, physics.",0360-3016,1879-355X,Neoplasms; Radiology; Radiotherapy
Practical radiation oncology.,1879-8500,1879-8519,Neoplasms; Radiotherapy
Radiation oncology.,,1748-717X,Neoplasms; Radiotherapy
Cancer radiothérapie : journal de la Société française de radiothérapie oncologique.,1278-3218,1769-6658,Neoplasms; Radiotherapy
Radiology and oncology.,1318-2099,1581-3207,Neoplasms; Radiotherapy
Strahlentherapie und Onkologie : Organ der Deutschen Röntgengesellschaft ... [et al].,0179-7158,1439-099X,Neoplasms; Radiotherapy
Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology.,0167-8140,1879-0887,Neoplasms; Radiotherapy
Journal for immunotherapy of cancer.,,2051-1426,Neoplasms; Therapeutics
Journal of cancer research and therapeutics.,0973-1482,1998-4138,Neoplasms; Therapeutics
Integrative cancer therapies.,1534-7354,1552-695X,Neoplasms; Therapeutics
Cancer biology & therapy.,1538-4047,1555-8576,Neoplasms; Therapeutics
Technology in cancer research & treatment.,1533-0346,1533-0338,Neoplasms; Therapeutics
Expert review of anticancer therapy.,1473-7140,1744-8328,Neoplasms; Therapeutics
"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group.",0265-6736,1464-5157,Neoplasms; Therapeutics
Cancer treatment and research.,0927-3042,,Neoplasms; Therapeutics
European urology oncology.,,2588-9311,Neoplasms; Urology
Clinical genitourinary cancer.,1558-7673,1938-0682,Neoplasms; Urology
Prostate cancer and prostatic diseases.,1365-7852,1476-5608,Neoplasms; Urology
Urologic oncology.,1078-1439,1873-2496,Neoplasms; Urology
Veterinary and comparative oncology.,1476-5810,1476-5829,Neoplasms; Veterinary Medicine
Tumour virus research.,,2666-6790,Neoplasms; Virology
Brachytherapy.,1538-4721,1873-1449,Radiotherapy
Medical dosimetry : official journal of the American Association of Medical Dosimetrists.,0958-3947,1873-4022,Radiotherapy
Zeitschrift für medizinische Physik.,0939-3889,1876-4436,Radiotherapy
