Journal Title,ISSN (Print),ISSN (Online),Categories
International journal of language & communication disorders,1368-2822,1460-6984,Speech-Language Pathology
"Logopedics, phoniatrics, vocology.",1401-5439,1651-2022,Speech-Language Pathology
Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP).,1021-7762,1421-9972,Speech-Language Pathology
American journal of speech-language pathology,1058-0360,1558-9110,Speech-Language Pathology
Clinical linguistics & phonetics.,0269-9206,1464-5076,Speech-Language Pathology
Augmentative and alternative communication : AAC,0743-4618,1477-3848,Speech-Language Pathology
Seminars in speech and language.,0734-0478,1098-9056,Speech-Language Pathology
Journal of fluency disorders.,0094-730X,1873-801X,Speech-Language Pathology
Phonetica.,0031-8388,1423-0321,Speech-Language Pathology
Language and speech.,0023-8309,1756-6053,Speech-Language Pathology
"Alcohol, clinical & experimental research.",,2993-7175,Substance-Related Disorders
Substance use & addiction journal.,2976-7342,2976-7350,Substance-Related Disorders
Journal of substance use and addiction treatment.,2949-8767,2949-8759,Substance-Related Disorders
Current drug research reviews.,2589-9775,2589-9783,Substance-Related Disorders
Alcohol research : current reviews.,2168-3492,2169-4796,Substance-Related Disorders
Journal of studies on alcohol and drugs. Supplement.,1946-584X,1946-5858,Substance-Related Disorders
Addiction science & clinical practice.,1940-0632,1940-0640,Substance-Related Disorders
"Substance abuse treatment, prevention, and policy.",,1747-597X,Substance-Related Disorders
Journal of studies on alcohol and drugs.,1937-1888,1938-4114,Substance-Related Disorders
Journal of addiction medicine.,1932-0620,1935-3227,Substance-Related Disorders
Substance use & misuse.,1082-6084,1532-2491,Substance-Related Disorders
Addiction biology.,1355-6215,1369-1600,Substance-Related Disorders
European addiction research.,1022-6877,1421-9891,Substance-Related Disorders
The American journal on addictions,1055-0496,1521-0391,Substance-Related Disorders
Tobacco control.,0964-4563,1468-3318,Substance-Related Disorders
Addiction.,0965-2140,1360-0443,Substance-Related Disorders
Drug and alcohol review.,0959-5236,1465-3362,Substance-Related Disorders
Journal of addictive diseases.,1055-0887,1545-0848,Substance-Related Disorders
Adicciones.,0214-4840,,Substance-Related Disorders
Alcohol.,0741-8329,1873-6823,Substance-Related Disorders
Alcohol and alcoholism : international journal of the Medical Council on Alcoholism.,0735-0414,1464-3502,Substance-Related Disorders
The American journal of drug and alcohol abuse.,0095-2990,1097-9891,Substance-Related Disorders
Drug and alcohol dependence.,0376-8716,1879-0046,Substance-Related Disorders
